,genres
0,Game-Show
1,Sport
2,Animation
3,Comedy
4,History
5,Documentary
6,Horror
7,Crime
8,War
9,Music
10,Drama
11,Sci-Fi
12,Adult
13,Short
14,Mystery
15,Adventure
16,Biography
17,Fantasy
18,Film-Noir
19,Family
20,Action
21,Thriller
22,Reality-TV
23,Musical
24,News
25,Talk-Show
26,Romance
27,Western
